"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"20/02/2025","106,770","106,980","107,060","106,755","4,54K","-0,27%"
"19/02/2025","107,063","106,965","107,275","106,775","14,74K","0,10%"
"18/02/2025","106,955","106,700","107,010","106,700","14,46K","0,36%"
"17/02/2025","106,575","106,660","106,780","106,520","7,46K","0,00%"
"14/02/2025","106,575","106,990","107,075","106,445","21,23K","-0,60%"
"13/02/2025","107,216","107,870","107,905","106,935","35,67K","-0,56%"
"12/02/2025","107,823","107,900","108,420","107,505","28,00K","-0,01%"
"11/02/2025","107,833","108,235","108,350","107,640","14,46K","-0,33%"
"10/02/2025","108,193","108,265","108,305","107,980","12,04K","0,25%"
"07/02/2025","107,928","107,600","108,190","107,210","31,56K","0,35%"
"06/02/2025","107,547","107,515","107,980","107,400","17,65K","0,10%"
"05/02/2025","107,442","107,815","107,855","107,150","14,69K","-0,35%"
"04/02/2025","107,823","108,530","108,900","107,765","24,01K","-0,97%"
"03/02/2025","108,877","109,225","109,750","108,225","50,80K","0,61%"
"31/01/2025","108,217","108,020","108,400","107,610","31,56K","0,54%"
"30/01/2025","107,631","107,700","108,085","107,335","19,55K","-0,17%"
"29/01/2025","107,809","107,730","108,125","107,570","20,04K","0,12%"
"28/01/2025","107,683","107,555","107,875","107,505","13,73K","0,49%"
"27/01/2025","107,160","107,350","107,620","106,775","18,52K","-0,08%"
"24/01/2025","107,245","107,950","108,005","107,020","25,39K","-0,57%"
"23/01/2025","107,863","108,050","108,360","107,725","19,23K","-0,09%"
"22/01/2025","107,962","107,790","108,070","107,545","13,72K","0,09%"
"21/01/2025","107,861","108,445","108,625","107,725","22,15K","-1,23%"
"20/01/2025","109,203","109,235","109,320","107,735","26,47K","0,00%"